X,Coincidences,Singles1,Singles2
-25.000138,176.5,36469.5,33123
-24.997614,187,36418,32855
-24.995086,174,36355,33003.5
-24.992555,184,36446.5,33010.5
-24.990078,163.5,36074,33219.5
-24.987583,175.5,36475,32839.5
-24.985073,184.5,36282,33011.5
-24.982557,174.5,36529,32962.5
-24.980033,180,36427,32850.5
-24.977503,181.5,36592.5,32789.5
-24.975028,168,36256,32807
-24.972531,182,36560.5,33072.5
-24.970027,168.5,36300.5,33057
-24.967509,181,36666,33015.5
-24.964976,172.5,36448.5,33265
-24.962485,176.5,36614.5,33079
-24.95999,192,36380,33181.5
-24.957483,175,36438.5,33092
-24.95496,177,36253.5,32729
-24.952428,174,32479,30488
-24.949939,176.5,32366.5,30618.5
-24.947441,181.5,32157,30385.5
-24.944927,186.5,32408,30754.5
-24.942402,176.5,32484.5,30458
-24.939868,169,32439.5,30787.5
-24.937386,178,32447.5,30409
-24.934888,179.5,32423,30827
-24.932361,168.5,32097,30594
-24.929818,181.5,32218.5,30489
-24.927334,170.5,32280.5,30515.5
-24.924811,177,32505,30714
-24.922262,163.5,32300.5,30364
-24.919784,179,32050,30600.5
-24.917265,176.5,32507,30528
-24.914726,166,32503.5,30563.5
-24.912236,172.5,32379.5,30593.5
-24.909725,168.5,32098,30582.5
-24.907188,167.5,32502.5,30333
-24.904705,178,32272.5,30405
-24.902188,170.5,32404.5,30615.5
-24.899694,175.5,32240.5,30686
-24.897192,179.5,32490.5,30674
-24.894664,168,32414.5,30722
-24.892158,190,32289.5,30515
-24.889646,182.5,32377.5,30569.5
-24.887103,181.5,32423,30500
-24.884607,182.5,32374.5,30690
-24.882106,188,32331.5,30591
-24.879571,177.5,32544,30687.5
-24.877033,169,32370,30621
-24.874553,197,32428.5,30661
-24.872036,168.5,32425,30783.5
-24.869499,182,32333.5,30661.5
-24.867009,172,32122.5,30569.5
-24.864499,161.5,32321,30629
-24.861967,162.5,32195.5,30542
-24.859421,178,32333,30582
-24.856932,172.5,32408.5,30437.5
-24.854436,189.5,32433,30654
-24.851917,205.5,32591,30685.5
-24.849384,177.5,32250.5,30671
-24.846892,178.5,32413.5,30873.5
-24.844394,174,32581.5,30825.5
-24.841885,201,32454,30407.5
-24.839372,188,32441.5,30634.5
-24.836844,177,32152,30707.5
-24.834302,182.5,32372.5,30763.5
-24.831811,179.5,32712.5,30581.5
-24.829309,183,32570,30852.5
-24.826793,185.5,32325.5,30678
-24.824272,179.5,32329.5,30556
-24.821737,176,32327.5,30702.5
-24.819202,163,32540,30650.5
-24.816721,171.5,32480.5,30605.5
-24.814222,198,32433,30331
-24.811719,195,32478.5,30653.5
-24.809204,172.5,32294.5,30549
-24.806677,174.5,32380,30510.5
-24.804141,182.5,32339,30616.5
-24.801658,173.5,32535.5,30678
-24.799165,174.5,32233.5,30351
-24.796663,170,32325.5,30655.5
-24.79416,178,32326.5,30511
-24.791639,173.5,32323.5,30334.5
-24.78911,163,32387,30515
-24.786577,178,32321.5,30631
-24.784093,182.5,32016,30704
-24.7816,180,31899.5,30606
-24.779091,168.5,32359,30402.5
-24.77658,172,32262.5,30489
-24.774057,190,32489,30596
-24.771521,200,32227,30648
-24.769029,173.5,32552,30766
-24.766537,168,32403,30555.5
-24.764036,186.5,32471.5,30918
-24.761524,179,32513,30613
-24.759012,171.5,32480.5,30579.5
-24.756478,178,32335,30552.5
-24.753947,174,32548.5,30497
-24.751464,179.5,32388.5,30513
-24.748965,162,32314,30396.5
-24.746458,194,32487,30678
-24.743942,185.5,32371,30560
-24.741415,169.5,32453.5,30571
-24.738883,193.5,32291.5,30702.5
-24.736406,187.5,32355,30760.5
-24.733901,166,32383,30828.5
-24.731387,177,32538.5,30522.5
-24.728862,163.5,32444,30653
-24.726331,195.5,32586.5,30684.5
-24.72385,172,32383.5,30645.5
-24.721352,181,32610.5,30641
-24.718842,176.5,32465.5,30433.5
-24.716335,176,32298,30315
-24.713805,191,32453.5,30624
-24.711267,175.5,32625.5,30438
-24.708784,174.5,32632.5,30388.5
-24.706285,181,32233,30721.5
-24.703788,185.5,32704,30714
-24.701269,169.5,32662.5,30675.5
-24.698735,188,32601.5,30865
-24.696204,192.5,32409,30799.5
-24.69373,180,32292.5,30653
-24.691242,171.5,32176,30738.5
-24.688728,163.5,32364.5,30600
-24.686205,173.5,32572,30387
-24.683671,176,32161.5,30896
-24.681181,172.5,32505.5,30747
-24.678689,158.5,32160.5,30579
-24.67618,189,32432.5,30805.5
-24.673673,184,32548.5,30466
-24.671138,191,32505,30666.5
-24.668608,168.5,32207.5,30542.5
-24.666134,189.5,32258,30685.5
-24.663636,180,32366,30549
-24.661125,188,32662,30710
-24.658607,176,32398.5,30473.5
-24.656074,183,32491.5,30537.5
-24.65358,192.5,32537.5,30912
-24.651082,195,32418.5,30714
-24.648577,192,32406.5,30848
-24.646072,168,32340.5,30637
-24.643545,186.5,32154,30588.5
-24.641004,173,32621,30559
-24.638527,169,32279,30738
-24.636027,180,32363,30537.5
-24.633515,170,32375,30812
-24.630991,166,32377.5,30471
-24.628457,171,32476.5,30627.5
-24.62597,171.5,32360.5,30809
-24.623468,202,32370.5,30711.5
-24.620962,189.5,32478,30661
-24.618444,206.5,32596,30613.5
-24.61591,207,32658.5,30803
-24.613376,177.5,32450,30581.5
-24.610893,191,32573.5,30476.5
-24.608397,169,32470,30396.5
-24.605881,185,32193.5,30922.5
-24.603359,192.5,32567,30782
-24.600819,197,32435.5,30604.5
-24.59833,183.5,32624,30776.5
-24.595835,189,32211,30634.5
-24.593331,181,32482.5,30707.5
-24.590808,188.5,32559.5,30759.5
-24.588272,170,32425,30697.5
-24.585781,180.5,32408,30558
-24.583287,167.5,32358,30652
-24.58079,170.5,32485.5,30844
-24.578282,181.5,32504,30797.5
-24.575767,192,32452.5,30635.5
-24.573241,193,32382.5,30840.5
-24.570753,179.5,32571,30743
-24.568263,181.5,32431,30581
-24.565765,178,32279,30773
-24.56324,183.5,32434.5,30638.5
-24.5607,177.5,32381,30397
-24.558164,181.5,32372,30666
-24.555684,178,32432,30463.5
-24.553184,176.5,32250,30715
-24.550678,184,32388.5,30665.5
-24.548155,178,32500,30717
-24.545615,179,32795.5,30814.5
-24.543131,189.5,32529.5,30890.5
-24.540631,188.5,32596.5,30772.5
-24.538117,187.5,32680.5,30657.5
-24.535596,184.5,32447,30792.5
-24.533073,171.5,32336.5,30455
-24.530592,188,32630.5,30685.5
-24.528101,192,32511.5,30793.5
-24.525592,204.5,32620.5,30848
-24.523076,180.5,32300,30852
-24.520555,196,32521,31008
-24.518025,183,32383,30779.5
-24.515537,187,32362,30941.5
-24.51303,168.5,32519.5,30691.5
-24.510515,177,32547.5,30727.5
-24.507994,191.5,32525,30720
-24.50546,175,32584.5,30760
-24.502972,176,32531.5,30689.5
-24.500473,178,32810,30711.5
-24.497964,181,32483.5,30786
-24.495447,187,32321,30819
-24.492919,184.5,32471,30854
-24.490381,179,32501,30678
-24.487904,183.5,32438.5,30769
-24.485408,171,32307.5,30629
-24.4829,194,32457,30746
-24.480374,210.5,32691.5,30557
-24.477851,185,32638.5,30831
-24.475356,196.5,32311,30679.5
-24.472868,196,32600,30772.5
-24.47037,178,32446,30800
-24.467859,194.5,32607.5,30691
-24.465327,178,32405,30687
-24.462797,172,32533.5,30624.5
-24.460315,176,32438,30672.5
-24.457826,193.5,32365,30295.5
-24.455323,169.5,32452.5,30568
-24.452801,183,32555.5,30815.5
-24.45028,175,32553,30525.5
-24.44775,189.5,32381.5,30766.5
-24.445268,202,32573.5,30808.5
-24.442769,192,32643.5,30707
-24.440258,198,32593.5,30955.5
-24.437726,188.5,32543.5,30700.5
-24.435183,184.5,32667.5,30594.5
-24.432691,199,32495.5,30715.5
-24.430196,191.5,32501,30822.5
-24.427698,188.5,32567.5,30713.5
-24.425179,188.5,32621,30532.5
-24.422644,199.5,32757,30665.5
-24.420115,175.5,32206,30728.5
-24.417639,183,32492,31049.5
-24.415133,190.5,32417.5,30868
-24.412623,195,32509,30784.5
-24.410095,171.5,32193,30822
-24.407564,158.5,32263,30505
-24.405078,168.5,32687.5,30591
-24.402583,177,32540.5,30724.5
-24.400079,172,32322,30632
-24.397558,198.5,32467.5,30271
-24.39503,194.5,32401.5,30696
-24.392536,174.5,32262.5,30827.5
-24.390042,181.5,32482,30626
-24.38753,189.5,32332,30688
-24.385007,186.5,32337.5,30649.5
-24.38248,190,32794,30769
-24.379943,185,32331.5,30610.5
-24.377459,196,32418,30705
-24.374967,197.5,32444.5,30722
-24.372456,183,32353.5,30882.5
-24.369935,177.5,32417.5,30578
-24.367399,183.5,32445.5,30746.5
-24.364914,182,32524.5,30610.5
-24.362419,202.5,32358.5,30876
-24.359911,198,32257.5,30485.5
-24.35739,174.5,32407.5,30685
-24.354863,186,32577.5,30678.5
-24.35233,174.5,32515,30552
-24.349856,178.5,32422,30672
-24.347363,191.5,32589,30669
-24.344859,196,32405.5,30767
-24.342348,189.5,32644.5,30814.5
-24.339806,190,32641,30794.5
-24.337316,164.5,32343.5,30644.5
-24.33482,176.5,32654,30580.5
-24.332313,177.5,32728.5,30837.5
-24.329785,188.5,32522.5,30814
-24.327264,170,32485,30479.5
-24.324732,187,32366.5,30849
-24.322252,166,32522.5,30854.5
-24.319747,191.5,32531.5,30617.5
-24.317237,186.5,32597.5,30794
-24.314721,194,32365.5,30675
-24.312188,171.5,32547.5,30574
-24.309706,206,32508,30700
-24.307207,183,32517.5,30726.5
-24.304704,183,32645,30914.5
-24.302182,184.5,32478,30849
-24.29965,195,32700,30949.5
-24.297118,176.5,32677,30730
-24.294636,215,32708.5,31028
-24.292137,188.5,32397,30982.5
-24.289626,193,32463,30695.5
-24.2871,170.5,32781,30855.5
-24.284564,197,32392.5,30756.5
-24.282079,186.5,32445,30799
-24.279592,197.5,32721.5,30562
-24.277087,180.5,32386,30588.5
-24.274572,175,32324.5,30532
-24.272044,197,32548,30529.5
-24.269508,177.5,32574,30745
-24.267027,187.5,32565,30594.5
-24.264534,181.5,32594,30821
-24.262023,186.5,32344,30698.5
-24.259507,176,32354,30862.5
-24.256977,174,32511,30669.5
-24.254497,193,32917.5,30791
-24.252003,182,32767.5,30730
-24.249498,194.5,32439,30934.5
-24.24698,203,32655,30750.5
-24.244456,181.5,32588.5,30950
-24.241925,173,32408.5,30686
-24.23944,176,32485,30683.5
-24.236943,168.5,32329.5,30816.5
-24.234438,186.5,32545,30823
-24.23192,179,32593,30721
-24.229389,182,32558,30625.5
-24.226904,190,32453.5,30740.5
-24.224408,175,32605,30732.5
-24.221904,185,32606,30955
-24.21939,182,32438,30691.5
-24.216861,174.5,32610,30649.5
-24.214331,180,32546,30707
-24.211849,178.5,32571,30557
-24.209347,185,32725.5,30703
-24.206834,180,32402.5,30577.5
-24.20432,167,32599,30507.5
-24.20178,193,32661.5,30602.5
-24.199291,175.5,32498.5,30711.5
-24.196792,183.5,32300.5,30628
-24.194288,178.5,32542.5,30711.5
-24.191774,177.5,32629.5,30527
-24.189243,188,32316.5,30588
-24.186718,181.5,32520,30704
-24.184233,189.5,32364,30714.5
-24.181741,196,32810,30741.5
-24.179238,196.5,32379.5,30898
-24.176715,175.5,32387.5,30692
-24.174184,183.5,32618,30983.5
-24.171653,196,32530,31151.5
-24.169174,191,32790.5,30540
-24.166674,183.5,32698,30598.5
-24.164166,195.5,32569,30706.5
-24.161645,204.5,32354.5,30766.5
-24.159114,162.5,32372.5,30743.5
-24.156625,182,32556,30572
-24.154125,196.5,32534,30746
-24.151623,192.5,32327,30532
-24.149106,179,32252.5,30509
-24.146572,174.5,32475.5,30688.5
-24.144038,194,32517.5,30944
-24.141553,175.5,32505.5,30798.5
-24.139055,190.5,32576,30759.5
-24.136543,179,32566,30615
-24.134028,184.5,32577.5,30617.5
-24.131499,181.5,32252.5,30397
-24.128969,172.5,32339,30689
-24.126495,178.5,32376.5,30833.5
-24.123995,201,32665.5,30717
