X,Coincidences,Singles1,Singles2
-5.401554,61.85,12529.55,11107
-5.399516,62.9,12393.3,11326.3
-5.397505,62,12674.45,11038.9
-5.395489,60.75,12508.55,11140.85
-5.393482,63.25,11740.6,10599.95
-5.391473,60.4,12016.7,10269.7
-5.389459,60.1,11995.5,10380.4
-5.387459,59.8,11785.4,10537.95
-5.38545,64.05,11913.9,10545.7
-5.383439,60.7,12086.75,10242
-5.381443,62.5,11907.25,10356.55
-5.379393,59.65,11719.2,10613.8
-5.377382,58.45,12056.55,10326.3
-5.375376,59.75,11981.15,10315.3
-5.373363,62.55,11793.65,10573.65
-5.371348,60.7,11894.45,10423.6
-5.369343,63.35,12109.25,10238.75
-5.36734,61.45,11792.05,10536.5
-5.365334,63.2,11796.15,10510.25
-5.363328,62.5,12096.15,10256.25
-5.361326,58.85,11948.55,10386.15
-5.359254,61.1,11729.75,10516.75
-5.357246,63.2,12039.55,10329.7
-5.355235,62,11980.45,10352.35
-5.353224,62.2,11717.15,10568.4
-5.351204,60.9,11947.5,10362.3
-5.349193,61.65,12041.1,10272.35
-5.347189,61.95,11796.25,10499.15
-5.345179,58.75,11833.3,10509.2
-5.343172,60.85,12038.2,10279.25
-5.341166,60.95,11899.3,10425.65
-5.339165,61.15,11800.7,10499.4
-5.337098,61.65,12043.9,10359.75
-5.335085,61.65,11978.5,10420.25
-5.333069,61.55,11795.35,10577.7
-5.331056,63,11981.75,10382.6
-5.329048,62.75,11951.4,10335.65
-5.327035,62.25,11784.85,10580.45
-5.325024,60.95,11932.9,10383.95
-5.323016,59,12032.3,10261.8
-5.321007,61.2,11861.25,10434.2
-5.319001,63,11839.1,10515.35
-5.316995,59.75,11989.15,10354.8
-5.314923,61.8,11865.8,10447.35
-5.312913,61.65,11847,10506.25
-5.310906,62.45,11989.15,10398.1
-5.308893,63.05,11974.5,10301.5
-5.306881,60.75,11840.8,10503.5
-5.304871,65.25,11938.65,10419.1
-5.302856,61.65,12010.7,10350.15
-5.300842,65,11903,10481.35
-5.29884,63.95,11837.3,10457.65
-5.296834,60.7,11975.45,10396.05
-5.294834,63.6,11892,10384.6
-5.29278,64.1,11842.75,10477.05
-5.290769,63.5,11929.1,10387.15
-5.288761,61.2,11926.05,10338.15
-5.28675,62.5,11879.75,10458.3
-5.284738,61.3,11876.3,10439.1
-5.282731,63.9,11884.85,10320
-5.28072,61.35,11875.55,10431.95
-5.278709,63.45,11876.6,10421.9
-5.276707,59.75,11978.2,10334.85
-5.274707,60.75,11902,10403.35
-5.272641,63.25,11861.2,10496.15
-5.270628,65.2,11965.85,10403.4
-5.268615,62.9,11970.2,10376.05
-5.266602,62.3,11836.55,10472.45
-5.264597,61.1,11850,10455.05
-5.262592,62.85,11972.4,10313.7
-5.26058,62.8,11844.35,10360.85
-5.258569,63.75,11844.3,10465.15
-5.256563,66.65,11991.9,10395
-5.254555,60.45,11919.9,10332.1
-5.252493,59.2,11805.05,10484.3
-5.250482,59.65,11880.3,10454.4
-5.248485,63.55,12003.05,10339.1
-5.246476,62.8,11918.05,10378.8
-5.244469,64.8,11859.6,10503.15
-5.242457,59.45,11957.9,10377.95
-5.240453,63,12010.4,10256.2
-5.23844,60.6,11812.7,10443.55
-5.236436,63.45,11851.5,10485.85
-5.234432,61.4,12018.25,10270.6
-5.232365,61.95,11797.2,10492.05
-5.23036,65.15,11845.5,10496.9
-5.228355,60.75,12033.45,10216.7
-5.226345,63.6,11928.5,10331.75
-5.224329,64.15,11755.7,10583
-5.222321,63.75,11944.1,10348.6
-5.220317,62.75,12003.65,10220.4
-5.21831,61.55,11793.45,10425.25
-5.216307,63.1,11895.4,10490.8
-5.214301,62.2,12054.7,10277
-5.21224,63.4,11814.75,10414.55
-5.210232,62.2,11832.4,10565.5
-5.208219,63.4,12046.65,10306.8
-5.206212,62.65,11843.3,10325.2
-5.204208,62.85,11760.65,10613.25
-5.202206,64.05,11997.25,10362.2
-5.200197,62.8,11945.5,10250.25
-5.198188,63.6,11739.25,10590.8
-5.196181,63.75,11861.1,10513.5
-5.194176,61.25,12064.2,10184.95
-5.192112,62.75,11737.2,10528.5
-5.190107,65,11808.8,10570.15
-5.188099,64.05,12033.9,10166.6
-5.186089,60.55,11808.15,10416.6
-5.184074,61.7,11722.95,10657.4
-5.182069,64.2,11994.35,10259.65
-5.180054,59.95,12044.55,10218
-5.178048,61.35,11699.9,10585.85
-5.176038,64.6,11957.65,10479.15
-5.174033,63.55,12109.05,10175
-5.171959,65.05,11746.8,10508.35
-5.169947,61.45,11838.45,10566.55
-5.167932,60.45,12143,10139.2
-5.165918,59.9,11720.6,10481.4
-5.163903,66.3,11739.7,10615.15
-5.16189,63.15,12140.25,10202.15
-5.159878,62.1,11797.15,10473.55
-5.157862,61.1,11713.1,10615.9
-5.155853,64.05,12100.55,10148.5
-5.15385,65.4,11894.45,10370
-5.151848,60.55,11616.55,10609.35
-5.149779,63.7,12075.25,10216.25
-5.147765,61.35,11929.8,10251.45
-5.14576,61.25,11681.1,10669.95
-5.143759,64.4,11950.05,10364.2
-5.141749,62.5,12118.7,10106.75
-5.13974,59.95,11861.05,10353.15
-5.137727,60.35,11738.4,10666.25
-5.135717,62.8,12134.8,10271.05
-5.133706,64,12011.85,10169.65
-5.131702,64.2,11681.05,10679.8
-5.1297,61.25,11914.15,10491.3
-5.127645,61.1,12089.9,10108.55
-5.125632,61.9,11764.4,10753.35
-5.123628,65.85,12066.6,10776.5
-5.121614,62.15,12411.95,10285.6
-5.119602,59.3,11942.35,10773
-5.117594,65.8,11883.55,10991.45
-5.115581,65.8,12352.85,10365.9
-5.113568,61.45,12115.8,10491.75
-5.111567,62.95,11790.7,10980.05
-5.109563,63.45,12230.05,10562.05
-5.107495,67.25,12248.2,10461.95
-5.105478,61.95,11754.4,10974.6
-5.103473,62.15,12184.35,10648.05
-5.10146,61.25,12338.4,10261.7
-5.099444,64.1,11807.85,10823.95
-5.097435,64.45,11934.9,10840.7
-5.09543,66.25,12345.65,10239.65
-5.093421,60.95,11865.65,10650.5
-5.091411,60.75,11804.95,10842.7
-5.089406,63.7,12361.05,10384.35
-5.087405,62.35,12162.4,10419.2
-5.085336,60.75,11748,10897.85
-5.083323,60.85,12187.5,10556.95
-5.081317,60.8,12128.2,10339.45
-5.079309,65.1,11684.7,10874.75
-5.077298,63.05,12062.6,10626.45
-5.075297,59.7,12329.1,10238.05
-5.073287,65.8,11702.9,10769.2
-5.071279,62.3,11839.05,10750.05
-5.069271,68.35,12428.55,10351.15
-5.067267,62.3,12091.8,10469.25
-5.0652,64.85,11781.75,10895.4
-5.063195,63.7,12368.3,10324.5
-5.061183,65.05,12074.8,10376.05
-5.059182,64.85,11740.2,10839.85
-5.057164,60.55,12202.15,10489.85
-5.055149,63.8,12312.5,10287.9
-5.053139,61.45,11789.2,10742.85
-5.05113,64.85,11877.85,10692.75
-5.049126,65.45,12363.1,10333.35
-5.047122,59,11875.7,10559.8
-5.045049,62.4,11900.9,10729.15
-5.043041,62.1,12339.5,10285.95
-5.041031,64.6,11964.55,10643.8
-5.039021,64,11932.95,10703.15
-5.037005,60.05,12326.9,10286.35
-5.034997,61.2,11769.8,10736.2
