X,Coincidences,Singles1,Singles2
-22.599035,85.8,13783.4,11223
-22.597012,83,14203.4,11599.6
-22.59501,87.2,14118,11760.4
-22.593004,84.2,14083.6,11647
-22.59099,95,14251.2,11476
-22.588972,87.8,14086.2,11617.6
-22.586951,88.6,14205.2,11535
-22.584938,91.4,14136.6,11623.6
-22.582935,94.4,14099.4,11673.8
-22.580921,88.2,14245.4,11632.2
-22.578898,91.4,14171.6,11563
-22.576874,85.8,14202.6,11584.8
-22.574862,84.6,14089,11643
-22.572857,95.4,14220.4,11680.8
-22.570843,93.8,14398,11478.6
-22.568824,89,13989,11641
-22.566808,86.8,14272.8,11582.8
-22.564795,84,14204.4,11529
-22.562784,95,14032.2,11561
-22.560771,96.8,14252.4,11547.6
-22.558751,86.6,14125,11617.2
-22.556725,88.6,14193.2,11565.2
-22.554722,83.4,14209,11556.2
-22.55272,83.6,14291.8,11472.8
-22.550701,88.2,14107.8,11585.6
-22.548675,95.4,14252.8,11648.8
-22.546653,84.6,14301.4,11570.8
-22.544644,86.6,14185,11560.8
-22.542626,86.4,14116.2,11647.8
-22.540596,86.4,14385.8,11574.8
-22.538563,96,14215.2,11656.2
-22.536529,84.2,14154.6,11728.6
-22.534511,90.8,14231.6,11503.6
-22.53249,85.2,14335.8,11571.6
-22.53046,95.4,14067.8,11676.6
-22.528495,96.6,14049.2,11632.2
-22.526502,87.4,14291.6,11510.4
-22.524502,83.2,14339,11489.2
-22.522447,80,14050.8,11568.2
-22.520485,87.8,14260.6,11539.2
-22.518488,87.6,14231,11699.8
-22.516481,88,14113,11579.2
-22.514477,88.4,14001.4,11603.4
-22.512472,84.4,14208,11613.6
-22.510468,94.2,14365.2,11570.8
-22.508457,99.4,14203.2,11550.6
-22.506447,91.2,14095.8,11577.4
-22.504438,92,14254.6,11527.6
-22.502419,84.2,14167,11607.8
-22.500409,89.2,14302.4,11554.2
-22.498385,88.4,14064.2,11519.4
-22.496362,90.8,14163.6,11570.8
-22.494346,82.4,14207.2,11587.2
-22.492327,88.4,14363.2,11612
-22.490295,87.6,14292.2,11565.8
-22.488258,88.6,14285.6,11505.6
-22.486216,89,14136,11562.6
-22.484196,89.2,14129.8,11592
-22.482166,84.2,14115,11570.2
-22.480197,89.4,14154,11535.4
-22.478195,85.8,14270,11526.8
-22.476185,93.8,14216.6,11585
-22.47418,94.2,14177.4,11623.2
-22.47217,85.2,14130.8,11495.4
-22.470164,94.8,14345.6,11701.4
-22.46815,89.8,14180.4,11464.8
-22.466134,92.6,14300.4,11608.2
-22.464121,84.2,14287.2,11618.4
-22.462108,89.2,14269.4,11533.2
-22.460078,85.8,14232.2,11763.4
-22.458036,94.8,14205.4,11531.4
-22.456003,92.6,14365,11690.4
-22.453976,86.4,14180.8,11737.2
-22.451944,92.4,14117.6,11609
-22.449974,93,14162.8,11547.2
-22.447969,87.2,14259,11434
-22.445954,88.4,14266.2,11644
-22.443946,93,14154.4,11641
-22.441939,93.6,14099.6,11391
-22.439933,88.8,14225.6,11632.6
-22.437915,91.8,14296.6,11462.6
-22.435891,92.4,14302.6,11619.6
-22.433873,94.8,14207,11631
-22.431845,86.4,14132.2,11630.6
-22.429812,88.4,14298.4,11607
-22.427764,84.4,14049.4,11645
-22.425727,95.4,14041.6,11442.4
-22.423698,88,14088.2,11581.2
-22.421728,86.4,14224,11672.6
-22.419721,89.2,14006.6,11599
-22.417709,89.4,14066.8,11353.2
-22.415698,90.6,14301.6,11609.8
