X,Coincidences,Singles1,Singles2
-14.670048,564,45822,42202
-14.720024,530,45732,42392
-14.61897,604,46008,42870
-14.51803,628,46722,43044
-14.417021,624,46550,42856
-14.315991,590,45860,42208
-14.214918,680,48232,43718
-14.113992,566,48164,43722
-14.013053,698,47810,43912
-13.911799,642,47232,43854
-13.810849,612,47382,43278
-13.70997,680,47480,43650
-13.609011,652,47756,43322
-13.507871,534,47008,42974
-13.406896,682,47286,43268
-13.30583,308,37600,34918
-13.204894,246,37952,34636
-13.103806,294,37828,34556
-13.002851,306,38288,34684
-12.90172,296,37968,34516
-12.800722,258,38034,34310
-12.699755,340,37794,34954
-12.598688,272,37650,34244
-12.497798,310,38292,34802
-12.396733,308,37430,34782
-12.295978,296,38040,34178
-12.19485,298,37880,34752
-12.093813,332,38174,34602
-11.992548,270,37326,34690
-11.891626,326,37344,34764
-11.790645,324,37954,35480
-11.689672,344,37500,34354
-11.588742,278,37936,34706
-11.487565,304,37414,34974
-11.386572,246,37342,34206
-11.285727,318,37944,34534
-11.184681,328,37998,35256
-11.083579,338,37180,35154
-10.982638,266,38016,35096
-10.881654,268,38410,34980
-10.780517,342,37638,34810
-10.679658,294,37550,34956
-10.578641,336,38140,35224
-10.477545,300,37940,35064
-10.376471,278,37890,35222
-10.275565,292,38100,35202
-10.174571,314,37820,34968
-10.073485,328,38716,34706
-9.972471,352,37918,35128
-9.871646,298,37472,35322
-9.770425,276,37196,35346
-9.66953,324,38150,35802
-9.568412,316,37984,35168
-9.467436,280,38070,34864
-9.366458,308,37848,34692
-9.265499,282,38182,35540
-9.164479,254,37912,35292
-9.063405,304,38134,34990
-8.962587,294,37548,34636
-8.861595,296,38284,35210
-8.760252,280,38422,35238
-8.659512,300,37798,35196
-8.558369,310,38148,34956
-8.457386,284,38186,35268
-8.356438,300,38328,34966
-8.255296,300,38216,35248
-8.154404,302,37686,35106
-8.053254,308,38120,35462
-7.95254,298,38442,34974
-7.851245,300,38168,34786
-7.75053,310,38128,35690
-7.649397,296,37886,35308
-7.54832,332,38266,35510
-7.447316,288,37846,35602
-7.346198,306,37560,35398
-7.245168,288,38242,35102
-7.144273,290,38176,35208
-7.043228,342,38040,35788
-6.942288,346,38520,35396
-6.841132,324,38186,34976
-6.740192,332,37916,35556
-6.639044,300,38824,35368
-6.538221,318,38846,35430
-6.437216,288,38276,35586
-6.336201,312,38110,34962
-6.235121,268,38040,35432
-6.134114,282,38164,35840
-6.033254,300,38646,35242
-5.932255,304,38436,35142
-5.83106,290,38474,35522
-5.73011,290,37916,35482
-5.629175,256,38212,35110
-5.528091,350,38448,34968
-5.427017,436,42704,39110
-5.326078,788,47852,44334
-5.224981,688,47972,43670
-5.123929,632,46898,43602
-5.022969,586,47068,43616
-4.921928,674,47118,43608
-4.821052,672,47388,43724
