X,Coincidences,Singles1,Singles2
-10.299994,9861,140297,128580
-10.289897,9851,140817,128293
-10.27984,9745,140241,128589
-10.269795,9922,140607,128833
-10.259764,9920,139506,128816
-10.249704,9819,140187,128679
-10.239652,9847,140789,128650
-10.229667,9786,140577,128899
-10.219627,9963,140649,128775
-10.209578,9965,141284,129420
-10.199475,9881,140544,128867
-10.189409,9995,140459,128573
-10.179394,10104,139594,128803
-10.169333,9800,139756,129039
-10.159263,9979,139246,129148
-10.14919,9883,139785,128515
-10.139125,9937,139963,128520
-10.129082,9873,140121,128092
-10.119114,9826,140141,128888
-10.109085,9830,140159,128845
-10.099048,9838,140419,128227
-10.088915,9927,139521,129020
-10.078918,9909,141039,128495
-10.068856,9713,139977,128561
-10.058736,9920,140474,129075
-10.048681,9851,140426,129027
-10.038637,10017,140867,129391
-10.028592,9967,139819,128419
-10.018533,9865,140153,128146
-10.00849,9838,140249,128420
-9.998414,9925,140735,128840
-9.9884,9787,140524,128239
-9.978342,10081,140716,128974
-9.968295,10016,140458,129018
-9.958243,9889,140785,129121
-9.9482,10018,140640,128435
-9.938214,9804,139782,128674
-9.928178,9807,140393,127834
-9.918085,9845,140266,128527
-9.908066,9886,140540,127995
-9.897956,9781,139661,128798
-9.887964,9928,140555,129012
-9.87791,10047,140665,129504
-9.867827,9991,141148,129070
-9.857748,9780,140045,128651
-9.847709,9920,140190,129488
-9.837637,9804,139913,129023
-9.827577,9959,140772,130139
-9.817521,10073,140130,128663
-9.807486,9960,139949,128793
-9.797427,9779,139991,128179
-9.787388,9912,139883,128510
-9.777338,9925,140903,129143
-9.767299,9828,139354,128336
-9.757249,9911,139870,128826
-9.747262,9960,139915,128947
-9.737212,10019,140371,128791
-9.727161,10012,140889,128764
-9.717113,9840,139926,129172
-9.707011,9871,140105,128951
-9.697006,9775,140252,128626
-9.686959,9858,140193,128282
-9.676825,9703,140019,127847
-9.666802,9680,139662,128719
-9.656745,9813,140320,128221
-9.646662,9822,140349,128693
-9.636622,9884,140534,128471
-9.626561,10037,140260,128922
-9.616527,9999,140054,129260
-9.60648,9805,139662,128664
-9.596417,9607,139752,128056
-9.586393,9950,140198,128461
-9.576339,9902,139952,128502
-9.56629,9839,140161,128442
-9.55624,9948,139949,128735
-9.54618,9919,140140,128448
-9.536148,9916,139886,128104
-9.526156,9867,140322,128867
-9.5161,9745,140182,129042
-9.50606,9832,139563,128699
-9.496,9689,139934,129139
-9.485972,9667,140552,128737
-9.475804,9633,140378,128923
-9.465785,9192,140259,127999
-9.455753,9030,140201,127657
-9.445691,8919,139347,128113
-9.435614,8786,139366,128966
-9.425591,8807,139986,128776
-9.415526,8377,139781,127903
-9.405466,8253,139298,127958
-9.395436,7951,139153,126918
-9.385443,8198,139158,128375
-9.375394,7829,138882,127641
-9.365347,7786,138662,127689
-9.355256,7763,138475,126835
-9.345183,7844,138654,127699
-9.335192,7849,139535,127563
-9.325076,7970,139816,128259
-9.315038,7876,138837,127988
-9.30495,8207,139559,128126
-9.294937,8151,139221,127777
-9.284853,8178,139534,127738
-9.274826,8460,138832,128795
-9.264793,8534,139208,127035
-9.254802,8759,139029,128200
-9.244744,8910,139570,128028
-9.23469,9011,140169,127684
-9.224644,9234,139759,129029
-9.214542,9352,140535,128209
-9.204475,9503,139275,128050
-9.194433,9652,140386,128346
-9.184363,9761,140687,128524
-9.174336,9857,140248,128645
-9.164268,9724,140213,127720
-9.154208,9855,139872,129582
-9.144162,9839,139700,128299
-9.134185,9693,140172,128325
-9.124116,10089,139364,127393
-9.114132,9920,140406,128337
-9.104049,9843,140105,127693
-9.094004,9790,139864,127831
-9.083885,9962,139778,127795
-9.073831,9927,141101,129652
-9.063783,9797,139975,128383
-9.053692,9786,140306,128419
-9.043676,9994,140008,128188
-9.03369,9946,139372,127506
-9.023667,9959,140339,128338
-9.013602,9934,139383,128556
-9.003533,9881,140755,128573
-8.99346,9857,141032,128680
-8.983363,10003,140453,129103
-8.973304,10100,140971,129174
-8.963248,10030,141057,129219
-8.953297,9948,140701,128354
-8.943275,10119,141139,128976
-8.933198,10072,140278,128096
-8.923075,9892,140268,128613
-8.913066,9924,140593,128227
-8.902948,10035,140254,128597
-8.892893,9952,140297,128378
-8.882848,9859,140420,128525
-8.872882,9850,140411,128790
-8.862848,9871,141176,128689
-8.852746,9981,140836,129689
-8.842747,9850,140144,129217
-8.832688,9872,140712,129068
-8.822555,10098,140996,128323
-8.812531,10026,140826,128840
-8.802452,9990,140649,128127
-8.792394,9754,140237,128742
-8.782345,9798,140589,128557
-8.77232,9934,139521,128210
-8.762335,9661,139740,128083
-8.752289,10006,140267,128756
-8.742192,9744,140348,128593
-8.732175,9853,140733,128475
-8.722144,9981,141170,129011
-8.712077,9977,139883,128769
