X,Coincidences,Singles1,Singles2
-10.300001,2778,85448,78797
-10.289926,2599,85256,78855
-10.279863,2569,85064,78395
-10.269877,2702,85247,78591
-10.259806,2662,85188,78933
-10.249758,2651,85703,78746
-10.239729,2706,85303,79444
-10.229711,2667,85275,78943
-10.219625,2708,85414,78421
-10.209483,2717,85650,78776
-10.199441,2681,86080,79305
-10.189371,2654,85370,78547
-10.179338,2681,85203,78350
-10.169276,2668,85644,78848
-10.159241,2538,85716,78150
-10.149264,2692,85944,79079
-10.139202,2691,84885,78999
-10.129164,2624,84868,78615
-10.119129,2709,85623,78777
-10.109055,2613,85066,79015
-10.09893,2681,84810,78119
-10.088894,2642,85307,78554
-10.078858,2576,85335,78594
-10.068791,2689,84693,78375
-10.058736,2584,85479,78699
-10.048667,2660,85022,78315
-10.038633,2661,85117,78316
-10.02859,2679,85404,79026
-10.018542,2719,85390,78708
-10.008502,2608,84977,78845
-9.998437,2606,85310,79097
-9.988396,2652,85267,79476
-9.978342,2682,85336,79191
-9.968299,2646,85570,78737
-9.95832,2615,85968,79340
-9.948269,2674,86107,78892
-9.938253,2757,86232,78930
-9.92814,2654,85099,79007
-9.918108,2668,85570,78779
-9.908001,2776,85589,78920
-9.898017,2738,85189,78543
-9.887973,2598,84707,79628
-9.877832,2531,85195,78772
-9.867791,2669,85167,79462
-9.857728,2665,85389,78619
-9.847699,2716,85186,79613
-9.837644,2703,85068,79036
-9.827584,2669,85502,79002
-9.817531,2757,85606,79162
-9.807466,2624,85532,78655
-9.797439,2646,85240,79408
-9.787396,2670,85641,78476
-9.777407,2634,85335,78617
-9.767359,2579,84942,78702
-9.757306,2705,85810,78564
-9.747258,2657,84944,79462
-9.737145,2688,85379,79024
-9.727093,2563,85780,78559
-9.71703,2687,85724,79227
-9.706991,2631,84947,78469
-9.696946,2627,85389,79188
-9.686894,2633,85794,79363
-9.676828,2688,85710,78828
-9.666768,2650,85255,78723
-9.65672,2610,85178,78838
-9.646682,2725,85349,78963
-9.636634,2618,85128,78651
-9.626607,2731,85472,78689
-9.616605,2718,85749,79078
-9.606569,2729,85966,78750
-9.596502,2654,85280,79141
-9.586407,2703,85650,79181
-9.576321,2704,84933,79178
-9.566357,2605,85128,78830
-9.556249,2586,85544,78881
-9.546199,2665,85803,78613
-9.536146,2667,85510,78941
-9.526087,2615,85330,79043
-9.516034,2648,84897,78676
-9.505977,2659,85113,78537
-9.495916,2549,85096,78477
-9.485883,2614,85557,78520
-9.475807,2637,85492,78551
-9.465781,2629,85532,78242
