X,Coincidences,Singles1,Singles2
-10.299988,2535,83901,77370
-10.289993,2632,84424,77202
-10.279895,2485,84191,76873
-10.269825,2647,84391,77634
-10.259769,2632,84490,76942
-10.249734,2645,84374,77274
-10.239671,2570,84264,77199
-10.22962,2612,83935,77229
-10.219529,2548,84218,77216
-10.209467,2603,84648,77255
-10.199439,2545,84367,77096
-10.18947,2550,84254,76986
-10.179431,2678,84633,77317
-10.169344,2618,84149,77039
-10.159268,2667,84531,77255
-10.149268,2654,84740,77373
-10.139197,2627,84268,77211
-10.129079,2653,84301,77031
-10.119031,2788,84872,77193
-10.108963,2685,83821,76967
-10.098927,2812,84028,76782
-10.088889,2705,84166,77045
-10.078916,2833,84558,77811
-10.068869,2694,84631,77396
-10.058813,2802,84582,77191
-10.048767,2780,84295,77464
-10.038639,2694,84084,76906
-10.02865,2698,84159,77541
-10.018582,2795,84589,77279
-10.008494,2726,84128,77424
-9.998471,2672,84391,76967
-9.988418,2671,84068,76703
-9.978364,2605,83679,77392
-9.968271,2642,84425,77184
-9.958242,2654,83761,76459
-9.94819,2682,83718,77199
-9.93814,2595,84422,77102
-9.928092,2600,84917,77450
-9.918109,2546,84498,76962
-9.908033,2598,84306,77797
-9.898041,2533,84614,76938
-9.887985,2502,84711,76904
-9.87791,2480,84217,77211
-9.867924,2508,84345,76850
-9.857806,2418,84377,76543
-9.847684,2551,84734,77247
-9.837661,2386,84329,76890
-9.827589,2446,84069,77506
-9.817525,2522,84923,76990
-9.807498,2391,84350,77012
-9.797409,2446,84109,76728
-9.787364,2515,84627,77314
-9.777333,2510,84312,77199
-9.76727,2650,83971,76571
-9.757309,2532,84473,76897
-9.747249,2647,84787,77145
-9.737172,2672,84141,76713
-9.727199,2636,84177,76931
-9.717117,2811,84483,76966
-9.706994,2831,84488,77642
-9.696939,2790,84196,77317
-9.686892,2864,84660,76711
-9.676816,2820,83873,76597
-9.666778,2922,84392,76830
-9.65672,2895,84323,76767
-9.646677,2942,84462,76947
-9.636629,2921,84614,77114
-9.626585,2912,84164,76731
-9.616544,2850,83336,77310
-9.606557,2811,84431,76523
-9.596492,2762,84410,76994
-9.586431,2803,84398,77529
-9.576375,2696,84537,77173
-9.566368,2649,84307,76971
-9.556231,2600,83898,76792
-9.54625,2451,83895,76433
-9.536184,2431,83531,76400
-9.526073,2300,83948,76748
-9.516043,2126,84342,76834
-9.505991,1989,83690,76971
-9.495961,1879,84282,77245
-9.48587,1761,83560,77273
-9.475812,1578,84270,76075
-9.465772,1388,83106,76920
-9.455727,1328,84166,76355
-9.445749,1156,83518,76587
-9.435687,1057,83590,76573
-9.425614,869,83503,76254
-9.415547,763,83738,76517
-9.405573,676,83797,76538
-9.395468,578,83155,76184
-9.385411,434,83191,75756
-9.375352,352,82850,75710
-9.365252,285,82468,75660
-9.355217,225,82090,76130
-9.345163,169,82405,75656
-9.335113,162,82432,75210
-9.325146,138,82729,75414
-9.315076,176,82655,76586
-9.305055,156,82562,75579
-9.294993,210,82260,75724
-9.284902,294,82849,75518
-9.274838,356,83056,76769
-9.264817,403,83959,75837
-9.254705,537,82931,76690
-9.244677,631,83538,75621
-9.234611,747,83188,77038
-9.224575,840,84186,76195
-9.214517,1002,83951,76518
-9.204547,1187,84120,76895
-9.194482,1292,84247,76379
-9.184462,1455,83506,77104
-9.174391,1580,84557,76923
-9.164289,1733,84129,76739
-9.154226,1934,84079,76801
-9.144167,1955,83875,77055
-9.134143,2227,84368,76428
-9.124066,2307,84170,77259
-9.114004,2296,83492,76909
-9.103954,2511,84923,77232
-9.093992,2623,84050,77227
-9.08395,2619,85041,77057
-9.073862,2758,84089,77140
-9.063777,2779,84375,77498
-9.05372,2865,84623,77367
-9.04366,2946,84281,77178
-9.033621,2971,84454,76924
-9.023547,2900,84283,77130
-9.013583,2971,84993,77735
-9.003507,2849,84311,77167
-8.993516,3012,83820,77310
-8.983416,2907,84509,77404
-8.973301,2873,84278,77159
-8.963256,2902,83738,77469
-8.953187,2807,84377,77014
-8.943229,2767,84571,77422
-8.933161,2827,84888,77251
-8.923138,2775,84786,77392
-8.913011,2713,84566,77040
-8.902958,2629,84260,76552
-8.892915,2554,84147,76924
-8.882843,2563,83931,77199
-8.872875,2572,84553,76474
-8.862851,2427,84436,77599
-8.852752,2496,83967,77322
-8.842737,2421,84685,76997
-8.832622,2470,84066,76895
-8.822581,2425,84591,76574
-8.812492,2427,84335,77045
-8.802437,2463,84354,76672
-8.792389,2467,84590,77311
-8.782355,2494,84594,77459
-8.772315,2382,84703,77052
-8.762264,2451,84484,77014
-8.752225,2468,84454,77236
-8.742237,2613,84228,77546
-8.732158,2565,83916,76937
-8.722147,2538,84812,76899
-8.712039,2585,83777,77414
-8.701984,2626,84780,77128
-8.691935,2718,84634,77577
-8.681872,2581,84240,76679
-8.671804,2752,84608,77519
-8.661767,2670,84134,76566
-8.651689,2781,84450,77272
-8.641645,2737,84726,77476
-8.631672,2722,84170,76714
-8.621632,2711,84702,77346
-8.611581,2739,84465,77307
-8.601489,2697,84595,76501
-8.591406,2687,84027,77167
-8.581345,2874,84756,76715
-8.571292,2779,84685,77348
-8.561237,2709,83851,76729
-8.551197,2767,84332,76868
-8.541142,2708,84286,76957
-8.531179,2738,84880,76806
-8.52111,2734,84034,77495
-8.511062,2724,83909,77223
-8.50096,2662,84423,76916
-8.490902,2641,84369,77275
-8.480845,2596,84214,76751
-8.470812,2690,85207,77302
-8.460747,2623,84150,77594
-8.450684,2623,84847,77173
-8.44064,2656,83837,77544
-8.430674,2582,83839,76947
-8.420647,2612,84289,76916
-8.410573,2605,84400,76735
-8.400488,2558,84267,76828
-8.39052,2504,84311,77404
-8.380369,2541,84297,77099
-8.370322,2572,84175,77237
-8.360259,2666,84864,76461
-8.350191,2626,84312,77781
-8.340141,2583,84847,77065
-8.330088,2604,84149,77599
-8.320109,2656,84383,76933
-8.310084,2625,84387,77059
-8.300043,2632,83948,77314
-7.499918,2692,84641,76898
-7.489987,2653,84961,77339
-7.479842,2595,84600,76874
-7.469809,2630,84629,77363
-7.459721,2670,84807,77012
-7.449675,2590,84408,77188
-7.439613,2715,84913,76924
-7.429663,2641,84316,77412
-7.419613,2664,84645,76890
-7.409527,2590,84296,76977
-7.399516,2747,84307,77519
-7.389457,2534,84173,77042
-7.379363,2700,84549,76995
-7.369279,2666,84454,77016
-7.359255,2707,84273,77253
-7.349181,2715,85047,77104
-7.339117,2629,84053,76964
-7.329093,2709,84444,76890
-7.319043,2555,84748,76867
-7.308994,2693,84820,77947
-7.298938,2697,84564,77823
-7.288894,2654,84418,77359
-7.278846,2649,83814,77250
-7.268798,2755,84480,77537
-7.258749,2576,84462,76806
-7.248695,2680,84523,76815
-7.238645,2705,84466,77369
-7.228664,2650,84105,77185
-7.218613,2659,84167,77144
-7.20854,2614,84113,76495
-7.198561,2596,84279,77051
-7.18841,2631,84724,77285
-7.17839,2789,84262,77253
-7.168295,2581,84345,77004
-7.15822,2685,84336,77773
-7.148172,2611,84333,77150
-7.138117,2683,84255,76933
-7.12808,2646,84493,77839
-7.118053,2681,84312,77081
-7.108071,2638,84489,77447
-7.098033,2608,84354,76595
-7.087971,2585,84780,77008
-7.077872,2562,83985,77207
-7.067797,2676,84388,77269
-7.057741,2590,84606,77290
-7.047685,2597,84135,76855
-7.037628,2579,84024,76609
-7.027571,2612,84071,77350
-7.017524,2661,84569,76789
-7.007474,2659,84416,77601
-6.997433,2721,84253,76720
-6.987395,2640,84093,77013
-6.977413,2678,84150,77133
-6.967379,2707,84421,77104
-6.957343,2656,84113,76904
-6.947238,2590,84520,76912
-6.937223,2644,84657,77161
-6.927088,2724,84245,77130
-6.917027,2707,84200,76901
-6.906994,2650,84451,77320
-6.896921,2665,84742,77214
-6.886858,2639,84498,77297
-6.876825,2675,84509,76881
-6.866767,2636,84226,76910
-6.856731,2689,84017,77010
-6.846757,2690,84028,77049
-6.836705,2639,84486,76959
-6.826627,2759,84446,77262
-6.816563,2751,84579,77232
-6.806504,2679,84674,77435
-6.79649,2589,84641,76687
-6.786417,2737,84763,77666
-6.776342,2622,83336,76852
-6.766291,2548,83518,77004
-6.756227,2681,84358,77061
-6.746169,2653,84209,77204
-6.736107,2739,84136,77273
-6.726085,2660,83960,76681
-6.716097,2662,84191,76658
-6.706046,2624,84859,76948
-6.696009,2687,84039,77471
-6.685974,2602,84351,76891
-6.675829,2598,83929,77079
-6.66582,2657,84073,77026
-6.655716,2752,84336,77246
-6.645679,2642,84610,77090
-6.635606,2737,83738,76733
-6.625556,2614,84114,76715
-6.615514,2597,84199,77169
-6.605475,2688,84261,77030
-6.595513,2641,84072,77126
-6.585448,2676,84874,77368
-6.575355,2691,84621,77471
-6.565304,2687,84432,76980
-6.555305,2587,84450,76561
-6.545184,2623,84155,77338
-6.535162,2655,84182,76743
