X,Coincidences,Singles1,Singles2
-9.499921,318.5,65092.5,60380.5
-9.413027,299,65436.5,60124
-9.330331,320,65171,59632
-9.251538,325,64948.5,60274.5
-9.176434,305,65030.5,60097.5
-9.104721,312.5,65491,60337
-9.036031,321,65384.5,60741.5
-8.970429,297.5,65141.5,59950.5
-8.907513,324,65541.5,60267
-8.847284,305.5,65211,60577.5
-8.789286,303,65106.5,60314
-8.733478,293.5,65733.5,60431
-8.679912,300,65030.5,60066
-8.628168,306.5,65553.5,60216
-8.578408,315.5,65428.5,59728.5
-8.530421,278,64865,60324.5
-8.483907,310,65258.5,60255.5
-8.439159,332,65090,60379
-8.395793,318,64975,60138.5
-8.353859,330.5,65570.5,60023
-8.313077,316,64796.5,60572
-8.273792,324,65056.5,60315.5
-8.235552,340,65085,60024.5
-8.198465,348,65592,60340.5
-8.162381,313,65294.5,60227.5
-8.127512,333.5,65694,60450
-8.093302,337,65142.5,60224
-8.06028,332.5,65068.5,60132.5
-8.02802,306.5,64969.5,60187.5
-7.996542,314.5,65248.5,60515
-7.965939,305,65260,60136
-7.936152,325,65414,60160
-7.907058,297,65122,59984
-7.878559,284.5,65348,60633
-7.850864,299.5,65067,60440.5
-7.823659,297,65226,60207.5
-7.797214,296.5,65299,60184
-7.771263,298,65433,60399.5
-7.746033,291,64884.5,60228
-7.721129,293,65199.5,59975.5
-7.696849,293.5,64955.5,59622
-7.673094,279.5,65078.5,60165.5
-7.649803,303,64944.5,59604
-7.626769,297,65045,59922
-7.604456,287,65040,60231.5
-7.582494,302.5,65363,59913.5
-7.56085,297.5,65134.5,59935
-7.539615,344,65121.5,60304
-7.51879,309,65111.5,59894.5
-7.498325,320,65560,60211
-7.478229,350,65071.5,60143.5
-7.458413,298,65134.5,60365
-7.438939,338,65292.5,60439.5
-7.419784,348,65186,60265
-7.401037,335,65358.5,59888
-7.38234,354,65460.5,60382
-7.364025,346.5,64823,59894
-7.346217,353,65099,59660.5
-7.328508,362,65178.5,60018.5
-7.310847,341.5,65252,60473.5
-7.293549,362,64934,59943
-7.276725,380.5,65595.5,60370.5
-7.259786,355.5,65018,60188
-7.243325,368.5,65069.5,60224.5
-7.226845,334.5,65228,60097.5
-7.210805,367,64915.5,60167.5
-7.194749,377.5,65514,59859
-7.179074,356.5,65240,59795.5
-7.163288,376.5,65296.5,60283
-7.147975,351.5,65299,60373
-7.132657,344,65290,60351
-7.117675,335.5,64936,60620
-7.10271,346,65077.5,60207.5
-7.087993,324,65525,60181
-7.073334,344,65338,60320.5
-7.059075,346,65280.5,59784
-7.044597,312.5,65018,60129
-7.03024,330.5,64945,60114
-7.01623,328.5,64988,60039.5
-7.00243,293,65287,60102
-6.988431,327,64967,59974.5
-6.974831,305,64992,60476.5
