X,Coincidences,Singles1,Singles2
-10.599999,2085,64370,57908
-10.599999,2048,64562.5,58275
-10.531459,2011,64524.5,57779
-10.467781,2053.5,64327,57997
-10.409009,2078.5,64155.5,57842.5
-10.354184,2029.5,64127.5,58013
-10.303228,2086.5,64235.5,57760.5
-10.255319,2107.5,64338,58087
-10.21044,2050.5,64235.5,57648
-10.168397,2093.5,64486.5,58029.5
-10.128536,2017,64757.5,58481.5
-10.090944,1952.5,64578.5,57856.5
-10.055563,2104,64754.5,57886
-10.021694,2191,64789,58366
-9.989692,2068.5,64782,57970
-9.959247,2099.5,64474,57913
-9.93004,2035,63903,57524
-9.902385,2108,64451.5,58301
-9.875774,2075.5,64183,57655
-9.850394,2071.5,64119,57631
-9.8258,2083,64029,56987
-9.802258,2096.5,63971,57887
-9.779732,2009,63835,57615
-9.758023,2134.5,64392.5,57981
-9.737071,2129,64654.5,58178
-9.716854,2054.5,63561.5,57493.5
-9.697261,2115.5,63948.5,57464
-9.678353,2109,64364.5,58215.5
-9.659971,2078,63866.5,57760
-9.642173,2061,64340.5,57872
-9.624848,2063.5,64214.5,58006
-9.608158,2053,64478.5,57543.5
-9.591987,2184,64444,58195
-9.575988,2117,64279,58034.5
-9.560637,2057.5,64321.5,57925.5
-9.545521,2009.5,64347.5,58007.5
-9.530874,2082.5,64460.5,58336
-9.51644,2042,64072,57865
-9.502356,2053,64710,57816
-9.488796,2057,64407.5,57759
-9.475239,2128,64785.5,58207.5
-9.462073,2096,64620,58110
-9.449303,2141,64258.5,57985.5
-9.436586,2148.5,64297,57906.5
-9.424206,2056,64409,57670
-9.412,2112,64687.5,57741
-9.400017,2172.5,64312.5,57996.5
-9.388264,2099,64756.5,57816
-9.376634,2085,64676,58104
-9.365267,2104.5,64641.5,58148.5
-9.353937,2066.5,64265,57872
-9.342881,1985,64356.5,57862.5
-9.331863,2049.5,64095.5,57844
-9.321119,2064,63957.5,57736
-9.310452,2109,63909.5,57616
-9.299827,2162,63985.5,57556
-9.289443,2197,64191,57713.5
-9.279155,2218.5,63890.5,57691.5
-9.268872,2249,64210.5,57976.5
-9.258669,2382,64128,58099.5
-9.248614,2513,63889,57714
-9.238652,2616,64088,57525.5
-9.228793,2758.5,63420,57549.5
-9.219011,2885,63313.5,56896.5
-9.209209,3050.5,62951,57012.5
-9.199597,3172.5,62982,56518.5
-9.189861,3337,63054,56614.5
-9.180301,3528,63354,57315.5
-9.170801,3736.5,63610,57351.5
-9.161264,3737,62699.5,56773
-9.151756,3717,62768,56816.5
-9.14234,3890.5,62878,56997.5
-9.132887,3972,62926,56613.5
-9.123376,4023.5,63684.5,57236.5
-9.11405,4001.5,63305,56882
-9.104644,3934,62900.5,56804
-9.095269,3874,62934,56503
-9.085913,3710.5,63147.5,56642
-9.076483,3638,62872,56797.5
-9.066983,3495.5,63238.5,56928
-9.057585,3397.5,62855.5,56844.5
-9.04817,3279,63120,57270
-9.038713,3100.5,63365,56901
-9.029152,3004,63561,57097.5
-9.019668,2864.5,63711.5,57742
-9.010006,2743.5,63704,57485
-9.000442,2550.5,63083,57035
-8.990731,2397.5,63224.5,57224.5
-8.980956,2400,63992.5,57622.5
-8.971119,2227.5,63863,57362
-8.961192,2149,63705.5,57730.5
-8.951222,2139.5,63750.5,57970.5
-8.941141,2112.5,63951.5,57693
-8.931134,2048,64131.5,57946.5
-8.920918,2100.5,64111,57533.5
-8.910559,2048,64089,57443.5
-8.90008,2034.5,64014.5,57289.5
-8.889561,2039,64248,57767
-8.878805,2106,64130.5,58092
-8.867964,2094,63970,57916.5
-8.857171,2101,64484.5,57541.5
-8.845948,2068.5,63824.5,57575
-8.834744,2091.5,64156.5,57420
-8.823369,2106,63899,57601.5
-8.811655,2097,64205,57890
-8.799921,2089.5,63754,57500
-8.787902,2055.5,64020,57739
-8.775741,2084.5,64221,57831.5
-8.763371,2125.5,63923.5,57901.5
-8.750692,2082.5,63644.5,57487.5
-8.737867,2039.5,64393.5,57627
-8.724732,2025,63948.5,57289
-8.711309,2023.5,63859,57686.5
-8.697506,2073.5,64028.5,57633
-8.683632,2062,64230.5,57859
-8.669135,2044.5,64455,57731
-8.654619,2018,63664,57605
-8.639348,2062,64123.5,57661.5
-8.623867,2074.5,63821.5,57922.5
-8.608169,2049.5,64277.5,57749.5
-8.591696,2006,64058,57929
-8.575014,2071.5,63914,57518
-8.55774,2081,64172.5,57710
-8.540071,2061,64124,57526.5
-8.521875,2057,64698,57984.5
-8.502713,2032,64273,58112
-8.483284,2072.5,63729,57772
-8.462948,2056,64367.5,57788
-8.441933,2090.5,64173.5,57744
-8.420243,2055.5,63860.5,57522.5
-8.397571,2080.5,63884,57680
-8.374102,2015.5,63435,57086
-8.349745,2077,64416.5,57637.5
-8.324267,2007.5,63812,57291.5
-8.297615,2015,63352,57314
-8.269852,2087.5,64055.5,58089
-8.240682,2058,64008.5,57451
-8.210329,2052.5,63906,57791
-8.178309,2095,64390.5,57991
-8.144461,2071,64434.5,57858
-8.108815,2113,64540,58317
-8.071463,2095.5,63935.5,57509
-8.031578,2086.5,64042.5,57498.5
-7.989342,2164.5,64298,57503
-7.94458,2033,64022.5,57223.5
-7.896722,2007.5,63261,56926.5
-7.845756,2036,63473.5,57177.5
-7.791039,2027,63524.5,57369
-7.732206,2087,63941.5,57529.5
-7.66881,2122.5,63980.5,57682
