X,Coincidences,Singles1,Singles2
-4.768518,249.6,21612.4,19691.8
-4.767521,248.4,21840.4,19790.2
-4.766504,252,21955.8,19749
-4.7655,253.8,21931.8,19860.4
-4.764496,262.8,21857.4,19815
-4.763429,252.4,21706.8,19847.8
-4.762457,247.6,22040.6,19778.4
-4.761392,254.6,22164.4,19670.8
-4.760416,260,21999.6,19758.2
-4.759365,281.4,21903.4,19765.6
-4.758381,240.4,22023.2,19646.4
-4.757342,254.8,21761.8,19892
-4.756348,256.6,21826.2,19817.8
-4.755325,255.2,21921,19778.8
-4.754323,250.2,22085.8,19685.2
-4.753319,240.6,21918.2,19786.8
-4.752254,246.2,21799.8,19750.2
-4.751294,246.8,21886.6,19750
-4.750226,251.8,21859.2,19793.2
-4.749247,258,21956.6,19831.6
-4.748195,243.6,21902.2,19805.4
-4.747211,252,22041.8,19642.6
-4.746177,242.4,22081,19637.6
-4.745181,249,22086.8,19685.6
-4.744164,252.6,21932.8,19761.6
-4.74316,253.4,21906.8,19643.2
-4.742168,253.8,21823.4,19859.4
-4.741095,249.6,22024.6,19644.4
-4.740124,239.2,21862.2,19869.8
-4.739059,243,21728.2,19724.6
-4.738079,259.6,22037.8,19567.2
-4.73703,255.4,21934,19827.2
-4.736046,253.4,21958.6,19812.6
-4.735018,256.4,22127,19725.8
-4.734024,241.4,21921.2,19751.2
-4.733013,254.6,21811.4,19715.8
-4.732011,252.4,21983,19707
-4.731012,255,21880.6,19953.2
-4.729933,252.6,21915,19846.6
-4.728973,241.4,21874,19872.4
-4.727913,245.2,22008.8,19867.2
-4.726936,252.4,21970.6,19794.2
-4.725888,246,21835.2,19738.4
-4.724906,261,22025.4,19682
-4.723877,255.2,21946.2,19863.8
-4.722884,252.4,21971,19781.2
-4.721867,251.2,21944.6,19912
-4.720857,256.2,22081.4,19802.8
-4.71986,259.4,21993.8,19688.8
-4.718792,249.6,21989,19720.8
-4.717822,253.8,22156.8,19679.8
-4.716756,257.8,21904.4,19755.2
-4.715784,255.2,21952.4,19853.6
-4.714735,250,22065.8,19773
-4.713747,248.8,21815.4,19880.8
-4.712715,248.8,22169.6,19696.6
-4.711716,244.4,22002.4,19871.8
-4.710694,259.8,21971.6,19937.2
-4.70969,248.2,22096.4,19828.8
-4.708695,251.6,21936.4,20055.4
-4.707625,242.2,21895.2,19811.6
-4.706653,244,22177.6,19875.6
