Entry Type,Dataset Index,Fiber Length (km),Coincidence Window (ps),η,ση,Scale Factor s_i,Exposure Time (ms),N Points,RMS Residual,r (1/ps^2),σ_r,beta2 (ps^2/km),σ_beta2
GLOBAL,,,,,,,,,,14.518501083685063,0.059849124635262776,21.390103499388875,0.0199773468271445
DATASET,0,5.0,1000.0,0.6653034093105449,0.0022486965556902,1.5751103563276094,5000.0,800,0.042671019751907846,,,,
DATASET,1,5.0,1000.0,0.7743645493694563,0.0018423950672302638,1.4166804262530994,5000.0,800,0.030292094680259472,,,,
DATASET,2,5.0,1000.0,0.6145011402477661,0.002711830904915998,1.7711569104991838,5000.0,800,0.031118228708670922,,,,
DATASET,3,5.0,1000.0,0.6324093570466683,0.00250162329015332,1.6954183127390743,5000.0,800,0.029149622028999633,,,,
DATASET,4,1.0,1000.0,0.6126269109758368,0.0028292874058369047,1.734641071539801,5000.0,800,0.025454829641881244,,,,
DATASET,5,3.0,1000.0,0.6371183938868538,0.002463279705342838,1.6805665252089168,5000.0,800,0.031921129128351426,,,,
DATASET,6,4.0,1000.0,0.6128596702261372,0.0028438766415346474,1.7068936361082434,5000.0,1000,0.030925889457328395,,,,
DATASET,7,4.0,1000.0,0.6096170902453804,0.0029129588933768744,1.7108718062623858,5000.0,1000,0.030070536108654598,,,,
DATASET,8,10.0,1000.0,0.6192280495733968,0.002437904017950636,1.9534583860479746,5000.0,1000,0.04698785113810033,,,,
DATASET,9,8.0,1000.0,0.6165336830482032,0.0025619096506585026,1.8300342829393272,5000.0,1341,0.04649801233424499,,,,
DATASET,10,6.0,1000.0,0.6484907190702687,0.002222252085264065,1.6981720947832177,5000.0,1400,0.035282796911264555,,,,
DATASET,11,9.0,1000.0,0.6200881095676666,0.002460910502686478,1.8766815560535912,5000.0,1400,0.045382456209667396,,,,
DATASET,12,5.0,1000.0,0.6196728231952142,0.0027129011066102356,1.6827989718163263,5000.0,1200,0.043332038382149926,,,,
DATASET,13,7.0,1000.0,0.6186769293093529,0.0026191210964996614,1.7445212978667055,5000.0,1600,0.04419319795403603,,,,
DATASET,14,1.0,1000.0,0.6100877872121448,0.003941046166360493,1.7646443181731128,5000.0,500,0.027610294920888033,,,,
DATASET,15,3.0,1000.0,0.6096753582599957,0.004091989727853339,1.7036258037973424,5000.0,500,0.03294123227050984,,,,
DATASET,16,4.0,1000.0,0.6169722350436068,0.003929838258603264,1.67393341577489,5000.0,500,0.035297225335020846,,,,
DATASET,17,5.0,1000.0,0.6420050965424431,0.0032732513394751954,1.699031459980561,5000.0,500,0.03538886340952685,,,,
