Wavelength (nm),Optical Density,Transmission (%)
1700,5.17676,6.66E-04
1699,5.17238,6.72E-04
1698,5.20427,6.25E-04
1697,5.18369,6.55E-04
1696,5.25916,5.51E-04
1695,5.20466,6.24E-04
1694,5.31417,4.85E-04
1693,5.25971,5.50E-04
1692,5.38533,4.12E-04
1691,5.38693,4.10E-04
1690,5.03053,9.32E-04
1689,5.13788,7.28E-04
1688,5.32378,4.74E-04
1687,5.01536,9.65E-04
1686,5.46261,3.45E-04
1685,5.04887,8.94E-04
1684,5.03278,9.27E-04
1683,5.0167,9.62E-04
1682,5.03637,9.20E-04
1681,5.41363,3.86E-04
1680,6.14418,7.17E-05
1679,7.37208,4.25E-06
1678,7.22137,6.01E-06
1677,5.78705,1.63E-04
1676,5.42673,3.74E-04
1675,5.06642,8.58E-04
1674,5.78012,1.66E-04
1673,5.23142,5.87E-04
1672,5.4202,3.80E-04
1671,5.14107,7.23E-04
1670,5.39786,4.00E-04
1669,5.25545,5.55E-04
1668,5.10618,7.83E-04
1667,5.10863,7.79E-04
1666,5.04605,8.99E-04
1665,5.14456,7.17E-04
1664,5.18071,6.60E-04
1663,5.36585,4.31E-04
1662,5.02522,9.44E-04
1661,5.28855,5.15E-04
1660,5.04774,8.96E-04
1659,5.36499,4.32E-04
1658,5.15937,6.93E-04
1657,5.08514,8.22E-04
1656,5.45925,3.47E-04
1655,5.02412,9.46E-04
1654,5.06188,8.67E-04
1653,5.25661,5.54E-04
1652,5.46536,3.42E-04
1651,5.23327,5.84E-04
1650,5.02123,9.52E-04
1649,5.33752,4.60E-04
1648,5.11618,7.65E-04
1647,5.029,9.35E-04
1646,5.36994,4.27E-04
1645,5.36536,4.31E-04
1644,5.27906,5.26E-04
1643,5.43488,3.67E-04
1642,5.49135,3.23E-04
1641,5.29389,5.08E-04
1640,5.04457,9.02E-04
1639,5.56625,2.71E-04
1638,6.13806,7.28E-05
1637,5.30729,4.93E-04
1636,5.0517,8.88E-04
1635,5.44372,3.60E-04
1634,5.3118,4.88E-04
1633,5.46648,3.42E-04
1632,5.09723,7.99E-04
1631,5.42877,3.73E-04
1630,5.18818,6.48E-04
1629,5.17635,6.66E-04
1628,5.48487,3.27E-04
1627,5.06251,8.66E-04
1626,5.43783,3.65E-04
1625,5.00107,9.98E-04
1624,5.39348,4.04E-04
1623,5.44704,3.57E-04
1622,5.32186,4.77E-04
1621,5.4501,3.55E-04
1620,5.33663,4.61E-04
1619,5.08942,8.14E-04
1618,5.09779,7.98E-04
1617,5.40724,3.92E-04
1616,5.11129,7.74E-04
1615,5.65376,2.22E-04
1614,5.08205,8.28E-04
1613,5.456,3.50E-04
1612,6.10209,7.91E-05
1611,5.23372,5.84E-04
1610,5.05473,8.82E-04
1609,5.22042,6.02E-04
1608,5.38612,4.11E-04
1607,5.09409,8.05E-04
1606,5.39025,4.07E-04
1605,5.27218,5.34E-04
1604,5.11088,7.75E-04
1603,5.05915,8.73E-04
1602,5.06989,8.51E-04
1601,5.4954,3.20E-04
1600,5.14953,7.09E-04
1599,5.04723,8.97E-04
1598,5.17364,6.70E-04
1597,5.13121,7.39E-04
1596,5.07476,8.42E-04
1595,5.17492,6.68E-04
1594,5.43204,3.70E-04
1593,5.16395,6.86E-04
1592,5.36256,4.34E-04
1591,5.13971,7.25E-04
1590,5.43755,3.65E-04
1589,5.20254,6.27E-04
1588,5.196,6.37E-04
1587,5.4379,3.65E-04
1586,5.10335,7.88E-04
1585,5.51882,3.03E-04
1584,5.02392,9.46E-04
1583,5.24768,5.65E-04
1582,5.47906,3.32E-04
1581,5.2711,5.36E-04
1580,5.06562,8.60E-04
1579.5,5.00226,9.95E-04
1579,5.06594,8.59E-04
1578.5,5.06103,8.69E-04
1578,5.05406,8.83E-04
1577.5,5.05113,8.89E-04
1577,5.04432,9.03E-04
1576.5,5.0437,9.04E-04
1576,5.03788,9.16E-04
1575.5,5.03963,9.13E-04
1575,5.03547,9.22E-04
1574.5,5.03937,9.13E-04
1574,5.03736,9.18E-04
1573.5,5.04294,9.06E-04
1573,5.04331,9.05E-04
1572.5,5.04988,8.92E-04
1572,5.05258,8.86E-04
1571.5,5.05932,8.72E-04
1571,5.064,8.63E-04
1570.5,5.00009,1.00E-03
1570,5.01613,9.64E-04
1569.5,5.33102,4.67E-04
1569,5.20187,6.28E-04
1568.5,5.07271,8.46E-04
1568,5.07702,8.37E-04
1567.5,5.08132,8.29E-04
1567,4.87368,0.00134
1566.5,4.85092,0.00141
1566,4.73467,0.00184
1565.5,4.71503,0.00193
1565,4.6215,0.00239
1564.5,4.57146,0.00268
1564,4.47347,0.00336
1563.5,4.45948,0.00347
1563,4.3455,0.00451
1562.5,4.24624,0.00567
1562,4.2022,0.00628
1561.5,4.18339,0.00656
1561,3.82918,0.01482
1560.5,3.68829,0.0205
1560,3.45639,0.03496
1559.5,3.19775,0.06342
1559,3.63237,0.02331
1558.5,3.26217,0.05468
1558,3.43811,0.03647
1557.5,3.20445,0.06245
1557,3.24984,0.05625
1556.5,3.2318,0.05864
1556,2.97355,0.10628
1555.5,2.81502,0.1531
1555,2.55514,0.27852
1554.5,2.17616,0.66657
1554,1.70533,1.97094
1553.5,1.17513,6.68141
1553,0.57913,26.35561
1552.5,0.1006,79.32389
1552,0.03864,91.48734
1551.5,0.04214,90.75198
1551,0.02131,95.21198
1550.5,0.01067,97.5731
1550,0.02863,93.62116
1549.5,0.02686,94.00176
1549,0.04315,90.54198
1548.5,0.04189,90.80526
